codes RNSR	Adresse	Provenance
196617508H	Univ Grenoble Alpes, Domaine Univ Grenoble, Ctr Rech Macromol Vegetales CERMAV CNRS UPR 5301, ICMG FR 2607,PolyNat Carnot Inst, F-38041 Grenoble 9, France	CNRS
196617508H	CERMAV CNRS, F-38041 Grenoble 9, France	CNRS
196617508H	Univ Grenoble Alpes, CERMAV, CNRS, F-38000 Grenoble, France	CNRS
196617508H	Univ Grenoble Alpes, Ctr Rech Macromol Veget CERMAV, CNRS, UPR 5301, F-38041 Grenoble, France	CNRS
196717612S	CNRS, Ctr Biophys Mol, UPR 4301, F-45071 Orleans 2, France	CNRS
196717612S	CNRS, UPR 4301, Ctr Biophys Mol, F-45071 Orleans 2, France	CNRS
196717612S	CNRS, UPR 4301, Ctr Biophys Mol, Orleans, France	CNRS
196717612S	Univ Orleans, CNRS, UPR 4301, Ctr Biophys Mol, Orleans, France	CNRS
196717612S	Univ Orleans, Ctr Biophys Mol, CNRS UPR 4301, F-45071 Orleans, France	CNRS
196717612S	Univ Orleans, CNRS, UPR 4301, Ctr Biophys Mol, F-45071 Orleans, France	CNRS
196717612S	CNRS, UPR 4301, Ctr Biophys Mol, F-45071 Orleans, France	CNRS
196717612S	CNRS, Ctr Biophys Mol, UPR 4301, F-45071 Orleans, France	CNRS
196717612S	CNRS, Ctr Biophys Mol, UPR 4301, Orleans, France	CNRS
196717612S	CNRS, UPR 4301, CBM, F-45071 Orleans, France	CNRS
196717612S	Univ Orleans, CNRS, CBM, F-45032 Orleans 01, France	CNRS
196717612S	Univ Orleans, CNRS, UPR 4301, Ctr Biophys Mol, F-45071 Orleans 2, France	CNRS
196717612S	Univ Orleans, CBM, CNRS UPR 4301, F-45071 Orleans, France	CNRS
196917933G	Univ Toulouse, INRA UMR792, CNRS UMR 5504, INSA,UPS,INP,LISBP, F-31077 Toulouse, France	CNRS
196917933G	Univ Toulouse, INSA, INRA UMR792, UPS,INP,LISBP,CNRS UMR 5504 135, F-31077 Toulouse, France	CNRS
196917933G	CNRS UMR 5504, F-31400 Toulouse, France	CNRS
196917933G	CNRS, UMR 5504, F-31400 Toulouse, France	CNRS
197217542U	Univ Paris 11, LIMSI, CNRS, F-91403 Orsay, France	CNRS
197217542U	CNRS, LIMSI, UPR 3251, F-91403 Orsay, France	CNRS
197217542U	LIMSI CNRS, F-91403 Orsay, France	CNRS
197217542U	LIMSI CNRS, UPR 3251, Orsay, France	CNRS
197217542U	LIMSI CNRS, Orsay, France	CNRS
197217542U	Univ Paris 11, LIMSI CNRS, UPR 3251, F-91403 Orsay, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS, UMR CNRS 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Inst Natl Sci Appl, MATEIS CNRS UMR5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, CNRS, MATEIS,UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS, CNRS UMR5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, CNRS, MATEIS UMR5510, F-69621 Villeurbanne, France	CNRS
197311954R	INSA Lyon, MATEIS UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, CNRS, INSA Lyon, MATEIS UMR CNRS 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS CNRS UMR5510, Villeurbanne, France	CNRS
197311954R	Univ Lyon 1, UMR CNRS 5510, Mateis I2B, Nosoco Tech, F-69622 Villeurbanne, France	CNRS
197311954R	Inst Natl Sci Appl, MATEIS, UMR CNRS 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS CNRS UMR5510, F-84306 Villeurbanne, France	CNRS
197311954R	CNRS, UMR 5510, MATEIS, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, MATEIS CNRS UMR5510, INSA Lyon, Villeurbanne, France	CNRS
197311954R	Univ Lyon 1, INSA Lyon, MATEIS CNRS UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, CNRS, UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	INSA Lyon, MATEIS, CNRS, UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, MATEIS UMR 5510, INSA Lyon, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS, CNRS,UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	INSA Lyon, MATEIS, CNRS, UMR 5510, Villeurbanne, France	CNRS
197311954R	Inst Natl Sci Appl, CNRS UMR5510, MATEIS, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS UMR CNRS 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS CNRS UMR5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS CNRS UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, INSA Lyon, MATEIS, UMR 5510, F-69621 Villeurbanne, France	CNRS
197311954R	Univ Lyon, CNRS, INSA Lyon, MATEIS UMR5510, F-69621 Villeurbanne, France	CNRS
197412323M	Univ Clermont Ferrand, CNRS, IN2P3, UMR 6533, F-63171 Aubiere, France	CNRS
197412323M	Univ Clermont Ferrand, CNRS IN2P3, LPC, F-63177 Aubiere, France	CNRS
197412323M	CNRS, IN2P3, UMR 6533, Lab Phys Corpusculaire, F-63177 Aubiere, France	CNRS
197412323M	CNRS, IN2P3, UMR 6533, LPC, Aubiere, France	CNRS
197417418A	CNRS, LCC, F-31077 Toulouse, France	CNRS
197417418A	CNRS, LCC, F-31077 Toulouse 4, France	CNRS
197417418A	CNRS, UPR 8241, Lab Chim Coordinat, Toulouse, France	CNRS
197417418A	CNRS, LCC, 205 Route Narbonne, F-31077 Toulouse, France	CNRS
197417418A	CNRS, Chim Coordinat Lab, UPR 8241, F-31077 Toulouse 4, France	CNRS
197417418A	CNRS, Chim Coordinat Lab, UPR 8241, F-31077 Toulouse, France	CNRS
197417418A	CNRS, Chim Coordinat Lab, LCC, F-31077 Toulouse 4, France	CNRS
197417418A	CNRS, LCC, Toulouse, France	CNRS
197417418A	CNRS, UPR 8241, Lab Chim Coordinat, F-31077 Toulouse 4, France	CNRS
197417418A	CNRS, Lab Chim Coordinat, UPR 8241, F-31077 Toulouse 04, France	CNRS
197417418A	CNRS, UPR 8241, Lab Chim Coordinat, F-31077 Toulouse 04, France	CNRS
197417418A	CNRS, UPR8241, LCC, F-31077 Toulouse, France	CNRS
197417418A	CNRS, UPR 8241, Chim Coordinat Lab, F-31077 Toulouse 4, France	CNRS
197417418A	CNRS, UPR 8241, Chim Coordinat Lab, F-31077 Toulouse 04, France	CNRS
197417418A	CNRS, LCC, UPR8241, F-31077 Toulouse, France	CNRS
197417418A	CNRS, UPR 8241, LCC, F-31077 Toulouse, France	CNRS
197417418A	Univ Toulouse 2, CNRS, INPT, LCC,UPS, F-31077 Toulouse, France	CNRS
197417418A	Univ Toulouse 3, Fac Pharmaceut Sci, CNRS UPR 8241, Lab Chim Coordinat, F-31077 Toulouse 04, France	CNRS
197417418A	CNRS, LCC UPR 8241, F-31077 Toulouse, France	CNRS
197419288H	CEA Saclay, CEA CNRS, UMR 12, Lab Leon Brillouin, F-91191 Gif Sur Yvette, France	CNRS
197419288H	IRAMIS CEA Saclay, CNRS, UMR 12, Lab Leon Brillouin, F-91191 Gif Sur Yvette, France	CNRS
197419288H	CEA, LLB, CNRS, UMR 12, F-91191 Gif Sur Yvette, France	CNRS
197419288H	CEA, Lab Leon Brillouin, CNRS, UMR 12, F-91191 Gif Sur Yvette, France	CNRS
197612609P	Univ Lorraine, LEMTA UMR CNRS 7563, Vandoeuvre Les Nancy, France	CNRS
197612609P	CNRS, LEMTA, UMR 7563, Vandoeuvre Les Nancy, France	CNRS
197612609P	CNRS, LEMTA, UMR 7563, F-54500 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, LEMTA, CNRS UMR7563, F-54506 Vandoeuvre Les Nancy, France	CNRS
197612609P	CNRS, LEMTA, Vandoeuvre Les Nancy, France	CNRS
197612609P	Lemta URA CNRS 875, F-54504 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, LEMTA, CNRS, UMR7563, F-54506 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, CNRS, LEMTA, F-54518 Vandoeuvre Les Nancy, France	CNRS
197612609P	CNRS, LEMTA, F-54504 Vandoeuvre Les Nancy, France	CNRS
197612609P	CNRS, LEMTA, UMR 7563, F-54518 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, LEMTA CNRS UMR7563, F-54506 Vandoeuvre Les Nancy, France	CNRS
197612609P	CNRS, UMR 7563, LEMTA, F-54500 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, UMR 7563, CNRS, LEMTA, F-54500 Vandoeuvre Les Nancy, France	CNRS
197612609P	Nancy Univ, CNRS, LEMTA, F-54504 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, ESSTIN, UMR CNRS 7563, LEMTA, F-54500 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, CNRS, LEMTA 7563, F-54504 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, LEMTA, CNRS, ESSTIN, F-54500 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, CNRS, LEMTA, TSA 60604, F-54518 Vandoeuvre Les Nancy, France	CNRS
197612609P	CNRS, LEMTA UMR 7563, F-54500 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, LEMTA, CNRS, UMR 7563, Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, LEMTA, CNRS, F-54518 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, CNRS, UMR 7563, LEMTA, F-54500 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, CNRS, UMR CNRS 7563, LEMTA, F-54518 Vandoeuvre Les Nancy, France	CNRS
197612609P	Nancy Univ, LEMTA, CNRS, F-54504 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, Ecole Natl Super Geol, LEMTA, CNRS,UMR 7563, F-54501 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, UMR 7563, LEMTA, CNRS, F-54502 Vandoeuvre Les Nancy, France	CNRS
197612609P	Univ Lorraine, CNRS, UMR 7563, LEMTA, F-54518 Vandoeuvre Les Nancy, France	CNRS
197612609P	Lemta UMR CNRS 7563 Ensem, F-54504 Vandoeuvre Les Nancy, France	CNRS
197712394B	Univ Franche Comte, CNRS, UMR 6623, F-25030 Besancon, France	CNRS
197712394B	Univ Franche Comte, Math Lab, CNRS UMR 6623, F-25030 Besancon, France	CNRS
198017849T	INRA, PAPPSO, UMR 0320, Genet Vegetale UMR8120, Gif Sur Yvette, France	CNRS
198017849T	Univ Paris 11, INRA, CNRS, AgroParisTech,UMR 0320,UMR Genet Vegetale 8120, Gif Sur Yvette, France	CNRS
198017849T	CNRS, PAPPSO, UMR 0320, Genet Vegetale UMR8120, Gif Sur Yvette, France	CNRS
198512095S	Univ Grenoble 1, CNRS, IN2P3, Inst Natl Polytech Grenoble,LPSC, Grenoble, France	CNRS
198512095S	Grenoble INP, UJF, LPSC IN2P3 CNRS, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble 1, LPSC, CNRS, IN2P3,Grenoble INP, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, IN2P3, LPSC,Inst Natl Polytech Grenoble, Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, LPSC, IN2P3,Inst Natl Polytech Grenoble, Grenoble, France	CNRS
198512095S	CNRS, IN2P3, UJF, LPSC, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, IN2P3, LPSC,INPG, Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS IN2P3, LPSC, Grenoble, France	CNRS
198512095S	Univ Grenoble 1, LPSC, CNRS IN2P3, INPG,UMR5821, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS IN2P3, INPG, LPSC, Grenoble, France	CNRS
198512095S	Univ Grenoble 1, LPSC, CNRS IN2P3, Grenoble INP, Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, LPSC, IN2P3,INPG, Grenoble, France	CNRS
198512095S	Univ Grenoble Alpes, CNRS, IN2P3, LPSC, F-38026 Grenoble, France	CNRS
198512095S	Univ Joseph Fourier Grenoble 1, Inst Natl Polytechn Grenoble, LPSC, CNRS IN2P3, Grenoble, France	CNRS
198512095S	Univ Grenoble Alpes, LPSC, CNRS IN2P3, Grenoble, France	CNRS
198512095S	Univ Grenoble Alpes, CNRS, IN2P3, LPSC, Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, Inst Natl Polytech Grenoble, IN2P3,LPSC, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, IN2P3, Grenoble INP,LPSC, F-38041 Grenoble, France	CNRS
198512095S	LPSC IN2P3 CNRS, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS IN2P3, LPSC, Inst Natl Polytech Grenoble, Grenoble, France	CNRS
198512095S	Univ Grenoble Alpes, LPSC, CNRS, IN2P3, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, IN2P3, Inst Polytech Grenoble,LPSC, Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS IN2P3, Inst Natl Polytech Grenoble, LPSC, Grenoble, France	CNRS
198512095S	Univ Grenoble Alpes, LPSC, CNRS IN2P3, F-38026 Grenoble, France	CNRS
198512095S	UJF Grenoble, INP, IN2P3 CNRS, LPSC, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble Alpes, CNRS IN2P3, LPSC, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, Inst Natl Polytech Grenoble, IN2P3,LPSC, Grenoble, France	CNRS
198512095S	Univ Grenoble 1, CNRS, IN2P3, LPSC,Grenoble INP, F-38026 Grenoble, France	CNRS
198512095S	Univ Grenoble Alpes, LPSC, CNRS, IN2P3, Grenoble, France	CNRS
198612058X	Univ Bordeaux, CNRS, LCPO, UMR 5629, F-33600 Pessac, France	CNRS
198612058X	CNRS, LCPO, UMR 5629, F-33600 Pessac, France	CNRS
198612058X	Univ Bordeaux, CNRS UMR 5629, LCPO, F-33607 Pessac, France	CNRS
198612058X	CNRS Univ Bordeaux, LCPO, UMR 5629, F-33607 Pessac, France	CNRS
198612058X	Univ Bordeaux, LCPO UMR CNRS 5629, F-33600 Pessac, France	CNRS
198612058X	CNRS, LCPO, UMR 5629, F-33607 Pessac, France	CNRS
198612058X	LCPO CNRS UMR 5629, Lab Chim Polymeres Organ, F-33600 Pessac, France	CNRS
198612058X	CNRS, UMR 5629, LCPO, F-33600 Pessac, France	CNRS
198612058X	Univ Bordeaux, LCPO CNRS, Pessac, France	CNRS
198612058X	Univ Bordeaux, Lab Polymeres Organ LCPO, CNRS, UMR 5629, F-33600 Pessac, France	CNRS
198612058X	CNRS, Lab Chim Polymeres Organ, UMR 5629, F-33607 Pessac, France	CNRS
198612058X	Univ Bordeaux, Lab Chim Polymeres Organ, CNRS, UMR 5629,ENSCPB, F-33607 Pessac, France	CNRS
198612058X	Univ Bordeaux, LCPO, CNRS UMR5629, ENSCPB, F-33607 Pessac, France	CNRS
198612058X	Univ Bordeaux, Ecole Natl Super Chim, CNRS, Lab Chim Polymeres Organ,UMR 5629, F-33607 Pessac, France	CNRS
198612058X	CNRS, UMR 5629, Lab Chim Polymeres Organ, F-33607 Pessac, France	CNRS
198812582H	Univ Strasbourg, LHyGeS UMR CNRS 7517, F-67084 Strasbourg, France	CNRS
198812582H	Univ Strasbourg, CNRS, UMR 7517, Lab Hydrol Geochim Strasbourg, F-67000 Strasbourg, France	CNRS
198812582H	Univ Strasbourg, CNRS, LHYGES, F-67084 Strasbourg, France	CNRS
198912571S	CNRS, LORIA, UMR 7503, Vandoeuvre Les Nancy, France	CNRS
198912571S	Univ Lorraine, UMR 7503, CNRS, INRIA Projet Magrit, F-54506 Vandoeuvre Les Nancy, France	CNRS
198912571S	Univ Lorraine, LORIA Projet Magrit, CNRS, INRIA,UMR 7503, F-54506 Vandoeuvre Les Nancy, France	CNRS
198912571S	Univ Lorraine, Inria Nancy Grand Est, UMR 7503, LORIA,CNRS, Vandoeuvre Les Nancy, France	CNRS
199017451S	Univ Bordeaux, CNRS, ICMCB, UPR 9048, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, ICMCB, UPR 9048, F-33600 Pessac, France	CNRS
199017451S	CNRS, ICMCB, UPR 9048, F-33600 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, UPR 9048, Inst Chim Mat Condensee Bordeaux, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, ICMCB, F-33608 Pessac, France	CNRS
199017451S	ICMCB CNRS, UPR 9048, F-33600 Pessac, France	CNRS
199017451S	CNRS, ICMCB, UPR 9048, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, ICMCB, CNRS, UPR 9048, F-33600 Pessac, France	CNRS
199017451S	Univ Bordeaux 1, CNRS, ICMCB, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS UPR9048, ICMCB, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS ICMCB Site ENSCBP, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, ICMCB, CNRS, UPR9048, F-33600 Pessac, France	CNRS
199017451S	CNRS, ICMCB, Inst Chim Mat Condense Bordeaux, F-33608 Pessac, France	CNRS
199017451S	Inst Chim Mat Condensee Bordeaux CNRS UPR 9048, Pessac, France	CNRS
199017451S	Univ Bordeaux, ICMCB, CNRS, F-33608 Pessac, France	CNRS
199017451S	ICMCB Bordeaux, UPR CNRS 9048I, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, ICMCB, CNRS, F-33600 Pessac, France	CNRS
199017451S	CNRS 87, ICMCB, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, ICMCB CNRS, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, ICMCB, UPR9048, F-33600 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, ICMCB, F-33600 Pessac, France	CNRS
199017451S	CNRS, UPR 9048, ICMCB, F-33608 Pessac, France	CNRS
199017451S	ICMCB CNRS, Pessac, France	CNRS
199017451S	ICMCB, CNRS, UPR 9048, F-33608 Pessac, France	CNRS
199017451S	CNRS, UPR 9048, ICMCB, F-33600 Pessac, France	CNRS
199017451S	ICMCB CNRS 87, Inst Chem Condensed Matter Bordeaux, F-33608 Pessac, France	CNRS
199017451S	Inst Chim Mat Condensee Bordeaux ICMCB CNRS 87, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, ICMCB UPR 9048, F-33608 Pessac, France	CNRS
199017451S	CNRS, ICMCB, UPR9048, F-33600 Pessac, France	CNRS
199017451S	Univ Bordeaux, ICMCB, UPR 9048, Inst Chim Mat Condensee Bordeaux CNRS, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, ICMCB ESEME, UPR 9048, F-33600 Pessac, France	CNRS
199017451S	CNRS, UPR ICMCB 9048, Pessac, France	CNRS
199017451S	Univ Bordeaux 1, CNRS, ICMCB, UPR 9048, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux 1, Lab Sci Mol, ICMCB CNRS UPR 9048, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, UPR 9048, ICMCB, F-33608 Pessac, France	CNRS
199017451S	CNRS, Inst Chim Mat Condensee Bordeaux, ICMCB, UPR9048, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, UPR 9048, ICMCB, F-33600 Pessac, France	CNRS
199017451S	Univ Bordeaux 1, CNRS, ICMCB, Lab Sci Mol,UPR 9048, F-33608 Pessac, France	CNRS
199017451S	CNRS, UPR9048, ICMCB, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS UPR 9048, F-33608 Pessac, France	CNRS
199017451S	CNRS, ICMCB, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux 1, CNRS, Inst Chim Matiere Condensee Bordeaux, ESEME,UPR 9048, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CeCaMA, CNRS, ICMCB, F-33608 Pessac, France	CNRS
199017451S	ICMCB, CNRS, UPR9048, F-33608 Pessac, France	CNRS
199017451S	ICMCB Bordeaux UPR CNRS 9048I, F-33608 Pessac, France	CNRS
199017451S	CNRS, Inst Chim Mat Condensee Bordeaux, UPR 9048, F-33600 Pessac, France	CNRS
199017451S	Univ Bordeaux, UPR CNRS 9048, ICMCB, Pessac, France	CNRS
199017451S	Univ Bordeaux 1, ICMCB CNRS UPR 9048, F-33608 Pessac, France	CNRS
199017451S	ICMCB CNRS, F-33608 Pessac, France	CNRS
199017451S	Univ Bordeaux, CNRS, ICMCB, Pessac, France	CNRS
199111793M	Univ Savoie, CNRS, LAPTh, F-74941 Annecy Le Vieux, France	CNRS
199111793M	Univ Savoie, CNRS, LAPTh, Lab Annecy le Vieux Phys Theor, F-74941 Annecy Le Vieux, France	CNRS
199111793M	Univ Savoie, CNRS, UMR 5108, LAPTh, F-74941 Annecy Le Vieux, France	CNRS
199111793M	Univ Savoie, CNRS, LAPTH, UMR 5108, F-74941 Annecy Le Vieux, France	CNRS
199111793M	Univ Savoie, CNRS, Lab Annecy le Vieux Phys Theor LAPTh, F-74941 Annecy Le Vieux, France	CNRS
199111793M	Univ Savoie, CNRS, Lab Annecy Le Vieux Phys Theor LAPTh, UMR5108, F-74941 Annecy Le Vieux, France	CNRS
199111793M	CNRS, Lab Phys Theor LAPTh, F-74941 Annecy Le Vieux, France	CNRS
199111950H	Univ Montpellier 2, Lab LIRMM, UMR 5506, CNRS, F-34392 Montpellier 05, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, Montpellier, France	CNRS
199111950H	LIRMM Montpellier, UMR CNRS, F-34095 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, F-34095 Montpellier 5, France	CNRS
199111950H	CNRS, LIRMM, AlGCo Project Team, Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, UMR 5506, F-34000 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, LIRMM, DEMAR Team, CNRS,INRIA, F-34095 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, MAB,UMR 5506, Montpellier, France	CNRS
199111950H	CNRS, UMR 5506, LIRMM, F-34392 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, F-34392 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, LIRMM, CNRS, UMR 5506, F-34095 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, INRIA, DEMAR LIRMM, F-34095 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, UMR 5506, Inst Biol Computat,LIRMM, F-34095 Montpellier, France	CNRS
199111950H	CNRS UM2, LIRMM, Inst Biol Computat, Montpellier, France	CNRS
199111950H	CNRS, LIRMM, AlGCo Project Team, F-34392 Montpellier 5, France	CNRS
199111950H	Univ Montpellier, CNRS, LIRMM, Inst Biol Computat, Montpellier, France	CNRS
199111950H	CNRS, LIRMM, Dept Robot, F-34095 Montpellier, France	CNRS
199111950H	CNRS, LIRMM, Montpellier, France	CNRS
199111950H	LIRMM, Equipe ICAR CNRS, Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, Inst Biol Computat, Montpellier, France	CNRS
199111950H	CNRS UMII, UMR 5506, LIRMM, F-34095 Montpellier, France	CNRS
199111950H	Univ Montpellier, CNRS, LIRMM, Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, F-34095 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, LIRMM, CNRS, Montpellier, France	CNRS
199111950H	LIRMM Univ Montpellier II, CNRS, UMR 5506, F-34392 Montpellier 5, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, UMR 5506, F-34095 Montpellier 05, France	CNRS
199111950H	LIRMM CNRS, F-34095 Montpellier 5, France	CNRS
199111950H	Univ Montpellier 2, LIRMM, CNRS, F-34000 Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, LIRMM, UMR 5506, F-34095 Montpellier 5, France	CNRS
199111950H	CNRS, INRIA LIRMM, DEMAR, UM2, Montpellier, France	CNRS
199111950H	CNRS, LIRMM, F-34095 Montpellier, France	CNRS
199111950H	CNRS, LIRMM, UMR 5506, Montpellier, France	CNRS
199111950H	Univ Montpellier 2, CNRS, UMR 5506, LIRMM, Montpellier, France	CNRS
199111950H	INRIA LIRMM UMR 5506 DEMAR Team, F-34090 Montpellier, France	CNRS
199111950H	CNRS UM2 LIRMM UMR 5506, F-34095 Montpellier 5, France	CNRS
199111950H	CNRS, LIRMM, UMR 5506, F-34095 Montpellier, France	CNRS
